question,llama-3_prediction,correct,score
"Question 77.1 (MC-NJ) - Step 3
A 34-year-old woman comes to the office because of a 3- to 4-week history
of swelling of her legs and a 9-kg (20-lb) weight
gain. Medical history is significant for sickle cell trait and mild anemia. She
has been taking 800 mg of ibuprofen three times
daily for Achilles tendinitis diagnosed 1 month ago. She has smoked five
cigarettes daily for the past 15 years, and she drinks
one to five beers on weekends. She experimented with cocaine briefly 16
years ago, but she has never used intravenous
drugs. She has been in a monogamous sexual relationship for the past 12
years. Today, vital signs are temperature
37.2°C (99.0°F), pulse 88/min, respirations 16/min, and blood pressure
145/95 mm Hg. Physical examination discloses
periorbital edema but no jugular venous distention. Lungs are clear to
auscultation. Cardiac examination discloses an S1 and
S2 without murmurs or gallops. Abdominal examination discloses bulging
flanks and shifting dullness to percussion.
Examination of the lower extremities shows pitting edema from the mid
thigh to the ankles bilaterally. Results of which of
the following studies are most likely to be abnormal in this patient?
(A) Echocardiography
(B) HIV antibody study
(C) Serum B-type natriuretic peptide concentration
(D) Toxicology screening of the urine
(E) Urine protein concentration",B,E,0
"Question 78.1 (MC-NJ) - Step 3
A 54-year-old woman comes to the office because she has had intermittent
shooting pain over her right cheek and jaw during
the past 3 weeks. Each episode of pain lasts for 1 second or less. The pain is
often triggered by cold air, chewing, tactile
stimulation, and brushing her teeth. She has had no trauma to the face or
head. Medical history is remarkable for tension
headaches, obesity, and gastric bypass surgery. She is 165 cm (5 ft 5 in) tall
and weighs 62 kg (137 lb); BMI is 23 kg/m². Vital signs are normal. The
patient cannot tolerate touch over the right side of the face. There is no
facial weakness or loss of
sensation. The remainder of the physical examination shows no
abnormalities. CT scan of the head with and without contrast
shows no abnormalities. Which of the following is the most appropriate
pharmacotherapy at this time?
(A) Carbamazepine
(B) Lamotrigine
(C) Levetiracetam
(D) Topiramate
(E) Zonisamide",A,A,1
"Question 79.1 (MC-NJ) - Step 3
A 25-year-old man, who was admitted to the hospital 5 hours ago because
of nausea, light-headedness, and muscle aches that
began after he completed a marathon, now reports worsening pain in his
right leg. On admission, the patient reported only
mild muscle aching, but he now rates the pain in his right lower extremity
as a 9 on a 10-point scale. Laboratory studies on
admission were notable for a serum creatine kinase concentration of
10,000 U/L and a serum creatinine concentration of 1.7
mg/dL. Since admission the patient has received 5 L of 0.9% saline and his
nausea and light-headedness have resolved. He is
alert and fully oriented. Vital signs are temperature 36.9°C (98.5°F), pulse
88/min, respirations 16/min, and blood pressure
126/82 mmHg. Pulse oximetry on room air shows an oxygen saturation of
97%. Cardiopulmonary and abdominal
examinations disclose no abnormalities. Passive flexion of the toes elicits
pain over the anterior portion of the right lower
extremity below the knee. Distal pulses are present in the lower
extremities bilaterally. The remainder of the physical
examination discloses no abnormalities. Results of laboratory studies
obtained 1 hour ago are shown:
Serum:
Urea nitrogen 12 mg/dL
Creatinine 1.2 mg/dL
Na+ 140 mEq/L
K+ 4.0 mEq/L
Cl− 100 mEq/L
HCO3 −24 mEq/L
Blood:
Hemoglobin 14.0 g/dL
WBC 14,000/mm3
Neutrophils, segmented 60%
Which of the following is the most appropriate next step in management?
(A) Application of ice to the right lower extremity
(B) Cyclobenzaprine therapy
(C) Measurement of lower extremity compartment pressures
(D) MRI of the right lower extremity
(E) Nonsteroidal anti-inflammatory drug therapy",C,C,1
"Question 80.1 (MC-NJ) - Step 3
A 9-year-old boy is brought to the office by his parents to establish care
after recently moving to the area. The patient has not
been evaluated by a physician in 4 years. He has been generally healthy.
Medical history is significant for pneumonia at age
3 years. He takes no medications. He is at the 25th percentile for height,
weight, and BMI. Vital signs are temperature
37.0°C (98.6°F), pulse 82/min, respirations 20/min, and blood pressure
112/74 mm Hg. Cardiac examination discloses a
grade 3/6 systolic murmur audible along the left sternal border at the third
and fourth intercostal spaces. Femoral pulses are
weak and brachial pulses are strong; there is a radiofemoral delay. Chest x-
ray discloses mild cardiomegaly with left
ventricular prominence. ECG shows left ventricular hypertrophy. This
patient is at greatest risk for which of the following
complications?
(A) Atrial fibrillation
(B) Cor pulmonale
(C) Systemic hypertension
(D) Tricuspid valve regurgitation",C,C,1
"Question 81.1 (MC-NJ) - Step 3
A 25-year-old woman comes to the office because of a 2-day history of
right lower quadrant abdominal pain and vaginal
spotting. She describes the abdominal pain as cramping and rates it as a 4
on a 10-point scale. Medical history is
unremarkable and the patient takes no medications. Menses are typically
irregular but she thinks her last menstrual period
was approximately 5 weeks ago. She is sexually active with one male
partner and they use condoms occasionally. Vital signs
are temperature 37.2°C (99.0°F), pulse 90/min, respirations 16/min, and
blood pressure 110/65 mm Hg. Abdominal
examination discloses tenderness to palpation of the right lower quadrant.
Pelvic examination discloses dark blood in the
vaginal vault. Hematocrit is 36%. Urine pregnancy test is positive. Pelvic
ultrasonography shows a thickened endometrial
lining and no adnexal masses. Which of the following is the most
appropriate next step in management?
(A) Admission to the hospital for observation
(B) Diagnostic laparoscopy
(C) Dilatation and curettage
(D) Follow-up pelvic ultrasonography in 1 week
(E) Serial serum β-hCG concentrations",C,E,0
"Question 82.1 (MC-NJ) - Step 3
A 32-year-old woman, gravida 4, para 4, comes to the office 1 week after an
uncomplicated vaginal delivery of a 3020-g (6-lb
11-oz) term female newborn. She has been breast-feeding her daughter
since birth. The patient says that she cries frequently
for no reason, is irritable, and is worried about her infant's long-term
health. The patient reports having no appetite. She says
that her husband and mother say that she is depressed and think she is
anorexic. She has not had auditory hallucinations,
confusion, or disorientation. She denies suicidal or homicidal ideation. She
has a history of postpartum psychosis following
the birth of her first child; she had no similar symptoms after the births of
her second and third children. Which of the
following factors in this patient's history most strongly indicates a poor
prognosis?
(A) Anorexia
(B) Depressed mood
(C) History of psychosis
(D) Multiparity",C,C,1
"Question 83.1 (MC-NJ) - Step 3
A 47-year-old man comes to the office to establish care. He recently moved
to the area and has not been evaluated by a
physician for more than 3 years. He reports a 1-year history of bilateral
knee pain that worsens after prolonged standing, but
he otherwise has felt well. Medical history is unremarkable and his only
medication is acetaminophen as needed for his knee
pain. Family history is significant for hypothyroidism in his mother and
myocardial infarction in a paternal uncle at age
55 years. The patient drinks five to six beers weekly and does not smoke
cigarettes. BMI is 32 kg/m² . Vital signs are
temperature 36.1°C (97.0°F), pulse 78/min, respirations 12/min, and blood
pressure 138/89 mm Hg. The patient is not in
distress. Physical examination discloses no abnormalities. Results of fasting
serum lipid studies obtained in preparation for
today's visit are shown:
Cholesterol
Total 264 mg/dL
HDL 54 mg/dL
LDL 170 mg/dL
Triglycerides 200 mg/dL
Which of the following is the most appropriate next step in management
regarding the patient's laboratory study results?
(A) Prescribe atorvastatin
(B) Prescribe cholestyramine
(C) Recommend diet and low-impact exercise
(D) Refer the patient to a cardiologist
(E) Repeat fasting laboratory studies in 1 month",A,C,0
"Question 84.1 (MC-NJ) - Step 3
A 37-year-old man comes to the emergency department because he has
felt nauseated and light-headed for the past hour.
Medical history is significant for esophageal varices secondary to alcohol-
related cirrhosis and ascites treated with
spironolactone. He drinks eight to ten alcoholic beverages daily. While you
are obtaining additional history, the patient
vomits a large volume of bright red blood and becomes difficult to arouse.
Vital signs are temperature 36.0°C (96.8°F), pulse
110/min, respirations 12/min, and blood pressure 90/50 mm Hg. Following
initiation of intravenous fluids, which of the
following is the most appropriate immediate management?
(A) Arrange for transjugular intrahepatic portal vein shunting
(B) Begin intravenous vasopressin therapy
(C) Do endotracheal intubation
(D) Do upper endoscopy
(E) Insert an esophageal tube for balloon tamponade",E,C,0
"Question 85.1 (MC-NJ) - Step 3
A 25-year-old man was admitted to the hospital yesterday with a massive
hemothorax sustained as a result of a stab wound. Left lateral thoracotomy
was done because more than 2 L of blood returned following chest tube
placement. The thoracotomy disclosed a bleeding intercostal vessel that
was repaired by suture ligation. Vital signs now are temperature 36.0°C
(96.8°F), pulse 100/min, respirations 18/min, and blood pressure 120/78
mm Hg. Pulse oximetry on 5 L/min of oxygen via nasal cannula shows an
oxygen saturation of 95%. Physical examination discloses a well-
approximated staple line at the incision site and mild erythema. Decreased
respiratory excursion is noted on the left side. The chest tube is draining a
small amount of serosanguineous fluid; no air leak is noted. Which of the
following is the most appropriate next step in management? Why not the
other choices?
(A) Administration of broad-spectrum antibiotics
(B) Initiation of tube feedings
(C) Pain reduction
(D) Physical therapy
(E) Psychological evaluation for post-traumatic stress disorder",C,C,1
"Question 86.1 (MC-NJ) - Step 3
A 45-year-old man returns to the office for ongoing treatment of
tuberculous pericarditis. Pericardiocentesis 9 weeks ago
showed a serosanguineous effusion; culture of the effusion was positive for
Mycobacterium tuberculosis, and therapy with
isoniazid, rifampin, and ethambutol was initiated. During the past 2 weeks,
he has had increasing shortness of breath on
minimal exertion, cough, pain in the right upper quadrant, and swelling of
the lower extremities. BMI is 26 kg/m² . Vital signs
today are temperature 37.0°C (98.6°F), pulse 100/min, respirations 22/min,
and blood pressure 105/65 mm Hg. Physical
examination discloses 10 cm of jugular venous distention. Lungs are clear
to auscultation and percussion. Cardiac
examination discloses distant but normal heart sounds. The liver is tender
and is palpated 3 cm below the right costal margin.
There is 2+ to 3+ pitting edema from the knees distally. HIV antibody test is
negative. ECG shows nonspecific ST-T
changes. Chest x-ray today is unchanged from the x-ray obtained at the
time of diagnosis, which showed resolution of apical
and perihilar infiltrates and a normal-sized heart. Which of the following is
the most appropriate next step in management?
(A) Add furosemide therapy and reevaluate in 4 weeks
(B) Add prednisone therapy
(C) Add streptomycin and cycloserine therapy
(D) Order bronchoscopy for brushings and cytology
(E) Order echocardiography",A,E,0
